Frame_number,centre_x,centre_y,width,height
0.0,180.0,294.0,174.0,160.0
1.0,182.66,294.36,174.83999999999997,160.0
2.0,185.32000000000002,294.72,175.68,160.00000000000003
3.0,187.98000000000002,295.08,176.52,159.99999999999997
4.0,190.64,295.44,177.35999999999999,160.0
5.0,193.29999999999998,295.8,178.2,160.0
6.0,195.96,296.16,179.04000000000002,160.00000000000003
7.0,198.62,296.52,179.88,159.99999999999997
8.0,201.28,296.88,180.71999999999997,160.0
9.0,203.94,297.24,181.56000000000003,160.0
10.0,206.60000000000002,297.6,182.4,160.00000000000003
11.0,209.26,297.96,183.24,159.99999999999997
12.0,211.92,298.32,184.07999999999998,160.0
13.0,214.58,298.68,184.92000000000002,160.0
14.0,217.24,299.04,185.76,160.00000000000003
15.0,219.89999999999998,299.4,186.6,159.99999999999997
16.0,222.56,299.76,187.43999999999997,160.0
17.0,225.22000000000003,300.12,188.28,160.0
18.0,227.88,300.48,189.12,160.00000000000003
19.0,230.54,300.84,189.95999999999998,159.99999999999997
20.0,233.20000000000002,301.2,190.8,160.0
21.0,235.86,301.56,191.64,160.0
22.0,238.51999999999998,301.92,192.48,160.00000000000003
23.0,241.18,302.28,193.32000000000002,159.99999999999997
24.0,243.84,302.64,194.16000000000003,160.0
25.0,246.5,303.0,195.0,160.0
26.0,257.40000000000003,302.5,198.64000000000001,159.79999999999998
27.0,268.3,302.0,202.28,159.60000000000002
28.0,279.20000000000005,301.5,205.92000000000002,159.39999999999998
29.0,290.1,301.0,209.56,159.20000000000002
30.0,301.0,300.5,213.20000000000002,159.0
31.0,311.9,300.0,216.83999999999997,158.79999999999998
32.0,322.8,299.5,220.48000000000002,158.60000000000002
33.0,333.7,299.0,224.12,158.39999999999998
34.0,344.6,298.5,227.76000000000002,158.20000000000002
35.0,355.5,298.0,231.39999999999998,158.0
36.0,366.4,297.5,235.04000000000002,157.79999999999998
37.0,377.3,297.0,238.67999999999995,157.60000000000002
38.0,388.20000000000005,296.5,242.32,157.39999999999998
39.0,399.1,296.0,245.96000000000004,157.20000000000002
40.0,410.0,295.5,249.59999999999997,157.0
41.0,420.9,295.0,253.24,156.79999999999998
42.0,431.8,294.5,256.88,156.60000000000002
43.0,442.70000000000005,294.0,260.52000000000004,156.39999999999998
44.0,453.6,293.5,264.1600000000001,156.20000000000002
45.0,464.5,293.0,267.79999999999995,156.0
46.0,475.4,292.5,271.44,155.79999999999998
47.0,486.3,292.0,275.08000000000004,155.60000000000002
48.0,497.2,291.5,278.7199999999999,155.39999999999998
49.0,508.1,291.0,282.35999999999996,155.20000000000002
50.0,519.0,290.5,286.0,155.0
51.0,530.74,290.5,286.11999999999995,155.96
52.0,542.48,290.5,286.24,156.92
53.0,554.22,290.5,286.35999999999996,157.88
54.0,565.96,290.5,286.48,158.84
55.0,577.7,290.5,286.6,159.79999999999998
56.0,589.4399999999999,290.5,286.71999999999997,160.76
57.0,601.1800000000001,290.5,286.84000000000003,161.72000000000003
58.0,612.92,290.5,286.96,162.67999999999998
59.0,624.6600000000001,290.5,287.08000000000004,163.64
60.0,636.4,290.5,287.2,164.60000000000002
61.0,648.14,290.5,287.31999999999994,165.55999999999997
62.0,659.88,290.5,287.44000000000005,166.51999999999998
63.0,671.62,290.5,287.55999999999995,167.48000000000002
64.0,683.36,290.5,287.68000000000006,168.44000000000003
65.0,695.1,290.5,287.79999999999995,169.39999999999998
66.0,706.8399999999999,290.5,287.91999999999996,170.36
67.0,718.5799999999999,290.5,288.0400000000001,171.32000000000002
